24.08.2019_07:30:59 [CRITICAL] mksbase._set_args  --  running <X> fx [runSeq] - Number of arguments (2)
24.08.2019_07:30:59 [INFO    ] app_env.get_env_vars  -- No env vars to load
24.08.2019_07:30:59 [INFO    ] app_conf.load_app_config  -- Loading config file : D:\Projects\python\debug\config\ventas.cfg
24.08.2019_07:30:59 [DEBUG   ] app_conf.load_app_config  -- Config File Variables ['ssh_host', 'ssh_user', 'ssh_pwsd', 'ssh_port', 'ssh_rmip', 'ssh_rmpt', 'db_host', 'db_user', 'db_pswd', 'db_name', 'db_port']
24.08.2019_07:30:59 [DEBUG   ] app_conf.load_app_config  -- App Variables ['ssh_host', 'ssh_user', 'ssh_pwsd', 'ssh_port', 'ssh_rmip', 'ssh_rmpt', 'db_host', 'db_user', 'db_pswd', 'db_name', 'db_port']
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 388461
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2963-07-28 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43657.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-13 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 2761.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 1907-07-25 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1843761
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6948-01-18 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43657.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-13 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43651.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-07 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1568040
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6193-02-23 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43656.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-12 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 0283058
